機關/基金別,年度,月份,廣告主要內容,託播對象,刊登/播出時間,刊登/撥出次數,金額-元
交通部航港局航政港政業務管理及執行,105,1,無,,,,
交通部航港局航政港政業務管理及執行,105,2,無,,,,
交通部航港局航政港政業務管理及執行,105,3,無,,,,
交通部航港局航政港政業務管理及執行,105,4,無,,,,
交通部航港局航政港政業務管理及執行,105,5,無,,,,
交通部航港局航政港政業務管理及執行,105,6,無,,,,
交通部航港局航政港政業務管理及執行,105,7,無,,,,
交通部航港局航政港政業務管理及執行,105,8,無,,,,
交通部航港局航政港政業務管理及執行,105,9,航海人生新紀元宣導片微電影,東森新聞台、youtube、google聯播網廣告、行動裝置廣告、中國廣播公司、捷運月台,105/07/08-105/07/31,17943次,1425650
交通部航港局航政港政業務管理及執行,105,9,航海人生新紀元成果發表會,東森電視事業股份有限公司,105/09/25,1次,227361
交通部航港局航政港政業務管理及執行,105,10,無,,,,
交通部航港局航政港政業務管理及執行,105,11,無,,,,
交通部航港局航政港政業務管理及執行,105,12,無,,,,
交通部航港局航政港政業務管理及執行,106,1,無,,,,
交通部航港局航政港政業務管理及執行,106,2,無,,,,
交通部航港局航政港政業務管理及執行,106,3,無,,,,
交通部航港局航政港政業務管理及執行,106,4,無,,,,
交通部航港局航政港政業務管理及執行,106,5,無,,,,
交通部航港局航政港政業務管理及執行,106,6,無,,,,
交通部航港局航政港政業務管理及執行,106,7,新南向政策推動計畫,新新聞文化事業股份有限公司,106/07/20-106/07/26,1次,98000
交通部航港局航政港政業務管理及執行,106,8,無,,,,
交通部航港局航政港政業務管理及執行,106,9,無,,,,
交通部航港局航政港政業務管理及執行,106,10,無,,,,
交通部航港局航政港政業務管理及執行,106,11,無,,,,
交通部航港局航政港政業務管理及執行,106,12,船員大數據智慧服務平臺,台視財經台及超級電視,106/11/28-106/11/30,12次,76480
交通部航港局航政港政業務管理及執行,107,1,無,,,,
交通部航港局航政港政業務管理及執行,107,2,無,,,,
交通部航港局航政港政業務管理及執行,107,3,無,,,,
交通部航港局航政港政業務管理及執行,107,4,無,,,,
交通部航港局航政港政業務管理及執行,107,5,無,,,,
交通部航港局航政港政業務管理及執行,107,6,無,,,,
交通部航港局航政港政業務管理及執行,107,7,無,,,,
交通部航港局航政港政業務管理及執行,107,8,無,,,,
交通部航港局航政港政業務管理及執行,107,9,無,,,,
交通部航港局航政港政業務管理及執行,107,10,無,,,,
交通部航港局航政港政業務管理及執行,107,11,"交通部航港局
施政成果",東森新聞雲股份有限公司,107/11/26-107/11/30,1次,80000
交通部航港局航政港政業務管理及執行,107,12,無,,,,
交通部航港局航政港政業務管理及執行,108,1,無,,,,
交通部航港局航政港政業務管理及執行,108,2,無,,,,
交通部航港局航政港政業務管理及執行,108,3,無,,,,
交通部航港局航政港政業務管理及執行,108,4,無,,,,
交通部航港局航政港政業務管理及執行,108,5,無,,,,
交通部航港局航政港政業務管理及執行,108,6,無,,,,
交通部航港局航政港政業務管理及執行,108,7,2019年大鵬灣遊艇帆船系列活動,網路-FB粉絲專業、Line@操作、Google、網紅行銷,108/03/01-4/30,61次,152000
交通部航港局航政港政業務管理及執行,108,7,2019年大鵬灣遊艇帆船系列活動,廣播-Hit-FM,108/3/15-4/15 ,160次,71500
交通部航港局航政港政業務管理及執行,108,7,2019年大鵬灣遊艇帆船系列活動,港都電台股份有限公司,108/3/16-4/20,86次,55000
交通部航港局航政港政業務管理及執行,108,7,2019年大鵬灣遊艇帆船系列活動,中廣流行網(中國廣播公司),108/4/6-4/14,80次,45000
交通部航港局航政港政業務管理及執行,108,7,2019年大鵬灣遊艇帆船系列活動,蘋果日報,108/3/21,1次,35000
交通部航港局航政港政業務管理及執行,108,7,2019年大鵬灣遊艇帆船系列活動,聯合報,108/4/11,1次,25000
交通部航港局航政港政業務管理及執行,108,7,2019年大鵬灣遊艇帆船系列活動,自由時報,108/4/15,1次,28000
交通部航港局航政港政業務管理及執行,108,7,2019年大鵬灣遊艇帆船系列活動,戶外宣傳車,108/4/6-7、4/12-13、4/15-16,6次,26000
交通部航港局航政港政業務管理及執行,108,7,2019年大鵬灣遊艇帆船系列活動,路燈旗,108/3/29-4/29,31次,99000
交通部航港局航政港政業務管理及執行,108,7,推廣燈塔拍攝網路影音直播影片,Nownew影音直播平臺、Nownews FB粉絲團及Nownews Youtobe,108/06/01-12/31,214次,30000
交通部航港局航政港政業務管理及執行,108,8,無,,,,
交通部航港局航政港政業務管理及執行,108,9,無,,,,
交通部航港局航政港政業務管理及執行,108,10,無,,,,
交通部航港局航政港政業務管理及執行,108,11,無,,,,
交通部航港局航政港政業務管理及執行,108,12,愛在三貂角拍出幸福的視角,網路-網紅行銷,108/11/23-12/15,23次,99750
交通部航港局航政港政業務管理及執行,109,1,無,,,,
交通部航港局航政港政業務管理及執行,109,2,無,,,,
交通部航港局航政港政業務管理及執行,109,3,無,,,,
交通部航港局航政港政業務管理及執行,109,4,交通部鐵道局前進宜花東宣導影片分攤款,民視文化事業(股)公司,109/1/1-2/29,51次,69500
交通部航港局航政港政業務管理及執行,109,5,無,,,,
交通部航港局航政港政業務管理及執行,109,6,無,,,,
交通部航港局航政港政業務管理及執行,109,7,無,,,,
交通部航港局航政港政業務管理及執行,109,8,無,,,,
交通部航港局航政港政業務管理及執行,109,9,無,,,,
交通部航港局航政港政業務管理及執行,109,10,無,,,,
交通部航港局航政港政業務管理及執行,109,11,無,,,,
交通部航港局航政港政業務管理及執行,109,12,109年交通部航港局船員宣導推廣案,1.Youtube Ads、Google、Yahoo、Facebook、Instagram、Dcard、Meteor Banner、痞客邦。2.台視電視台(廠商回饋項目)。3.7-11超商聯播網(廠商回饋項目)。,"1.109.11.27-109.12.27。2.109.12.1-109.12.12。3.109.12.1-109.12.7。
",.各網路媒體31次。2.100次。3.51次。,928316
交通部航港局航政港政業務管理及執行,109,12,109年度遊艇自駕推廣活動(基隆場),Youtube廣告、Google聯播廣告、Yahoo原生廣告、Facebook廣告、Instagram動態消息廣告、Line TODAY廣告、點子秀、獎將獵人、本局FB粉絲經營團、活動官方網站,109.9.9-109.9.24,"
本局FB粉專17則、FB7次、Line TODAY1次、Google廣告7次、Youtube 廣告2次、Instagram動態消息廣告15次、Yahoo廣告6次、論壇2則",182000
交通部航港局航政港政業務管理及執行,109,12,109年度遊艇自駕推廣活動(基隆場),夾報,"109.9.9、109.9.20
",2次,10000
交通部航港局航政港政業務管理及執行,109,12,109年度遊艇自駕推廣活動(基隆場),路燈宣傳布旗,109.9.9-109.9.24,16天,30000
交通部航港局航政港政業務管理及執行,109,12,大港啟航-艇你幸福(高雄場),Google Ads、Yahoo、Facebook、Instagram、Youtube、創意規劃-微網紅站出來、本局官方粉專協助經營、活動官方網站,109.10.27-109.11.19,"
本局FB粉專23則、網紅FB及Instagram貼文37則、26則、網路論壇45則、Youtube3則",569500
交通部航港局航政港政業務管理及執行,109,12,大港啟航-艇你幸福(高雄場),東森新聞台,109.11.13-109.11.14,30檔次,44500
交通部航港局航政港政業務管理及執行,109,12,大港啟航-艇你幸福(高雄場),電高雄港都983電台,109.11.1-109.11.15,30檔次,49500
交通部航港局航政港政業務管理及執行,109,12,大港啟航-艇你幸福(高雄場),聯合報、蘋果日報(含宣傳夾報),109.11.2、109.11.12,"
2次",92000
交通部航港局航政港政業務管理及執行,109,12,大港啟航-艇你幸福(高雄場),路燈旗,109.11.1-109.11.15,15天,102000
交通部航港局航政港政業務管理及執行,109,12,元旦連假海運船舶安全及疏運宣導,網路媒體(風傳媒),109.12.30-109.12.31,2天,98000
交通部航港局航政港政業務管理及執行,110,1,無,,,,
交通部航港局航政港政業務管理及執行,110,2,無,,,,
交通部航港局航政港政業務管理及執行,110,3,無,,,,
交通部航港局航政港政業務管理及執行,110,4,無,,,,
交通部航港局航政港政業務管理及執行,110,5,無,,,,
交通部航港局航政港政業務管理及執行,110,6,無,,,,
交通部航港局航政港政業務管理及執行,110,7,無,,,,
航港建設基金,105,1,無,,,,
航港建設基金,105,2,無,,,,
航港建設基金,105,3,無,,,,
航港建設基金,105,4,無,,,,
航港建設基金,105,5,無,,,,
航港建設基金,105,6,無,,,,
航港建設基金,105,7,無,,,,
航港建設基金,105,8,無,,,,
航港建設基金,105,9,無,,,,
航港建設基金,105,10,無,,,,
航港建設基金,105,11,無,,,,
航港建設基金,105,12,無,,,,
航港建設基金,106,1,無,,,,
航港建設基金,106,2,無,,,,
航港建設基金,106,3,無,,,,
航港建設基金,106,4,無,,,,
航港建設基金,106,5,無,,,,
航港建設基金,106,6,無,,,,
航港建設基金,106,7,無,,,,
航港建設基金,106,8,無,,,,
航港建設基金,106,9,無,,,,
航港建設基金,106,10,無,,,,
航港建設基金,106,11,無,,,,
航港建設基金,106,12,無,,,,
航港建設基金,107,1,無,,,,
航港建設基金,107,2,無,,,,
航港建設基金,107,3,無,,,,
航港建設基金,107,4,無,,,,
航港建設基金,107,5,無,,,,
航港建設基金,107,6,無,,,,
航港建設基金,107,7,無,,,,
航港建設基金,107,8,無,,,,
航港建設基金,107,9,無,,,,
航港建設基金,107,10,無,,,,
航港建設基金,107,11,無,,,,
航港建設基金,107,12,無,,,,
航港建設基金,108,1,無,,,,
航港建設基金,108,2,無,,,,
航港建設基金,108,3,無,,,,
航港建設基金,108,4,無,,,,
航港建設基金,108,5,無,,,,
航港建設基金,108,6,無,,,,
航港建設基金,108,7,無,,,,
航港建設基金,108,8,無,,,,
航港建設基金,108,9,無,,,,
航港建設基金,108,10,無,,,,
航港建設基金,108,11,無,,,,
航港建設基金,108,12,無,,,,
航港建設基金,109,1,無,,,,
航港建設基金,109,2,無,,,,
航港建設基金,109,3,無,,,,
航港建設基金,109,4,無,,,,
航港建設基金,109,5,無,,,,
航港建設基金,109,6,無,,,,
航港建設基金,109,7,無,,,,
航港建設基金,109,8,無,,,,
航港建設基金,109,9,無,,,,
航港建設基金,109,10,無,,,,
航港建設基金,109,11,無,,,,
航港建設基金,109,12,無,,,,
航港建設基金,110,1,無,,,,
航港建設基金,110,2,無,,,,
航港建設基金,110,3,無,,,,
航港建設基金,110,4,無,,,,
航港建設基金,110,5,無,,,,
航港建設基金,110,6,無,,,,
航港建設基金,110,7,無,,,,
